"","classification","score","text"
"266","Neutral",0," free food beverages served budget carrier requested emergency exit assign seat additional cost "
"267","Neutral",0," rn check carefully operating december "
"268","Neutral",0," terms luggage allowance huge differences sister company wings accept kgs accept cash pay excess luggage don cash situation "
"269","Neutral",0," rn happy didn crash december "
"270","Neutral",0," booked bengkulu batam day supposed airlines audacity change luckily ticketing staff helpful final destination jarkarta part "
"271","Neutral",0," wife flew wings owned group leg holiday eastern indonesia aircraft afr part group recent aircraft upgrade smooth uneventful half hour class service provided "
"272","Neutral",0," rn late info december "
"273","Neutral",0," rn dont fly december "
"274","Neutral",0," purchase ticket online time flying check counter inform ticket follow passport written ticket missing word bin acceptable "
"275","Neutral",0," rn problem great november "
"276","Neutral",0," bali jakarta check employee bali check bag put check belt luggage tag passport german chatting german living germany hannover "
"277","Neutral",0," rn review cheap time great wheelchair assistance november "
"278","Neutral",0," rn time cheap perfect wheelchair november "
"279","Neutral",0," flew bali jakarta lunchtime called day wheelchair service trouble sorted minutes based booking code arrived airport quick efficient checkin whisked security gate plane sorted aisle seat "
"280","Neutral",0," rn dissapoited stewardesses november "
"281","Neutral",0," rn standard october "
"282","Neutral",0," rn budget plane seldom fly time october "
"283","Neutral",0," rn luggage torn offerv bth acceptable october "
"284","Neutral",0," luggage torn offer bth unbelivable reason torn careless good quality luggage low quality brand time compensate bth compare client asset management "
"285","Neutral",0," rn fly circumstances october "
"286","Neutral",0," rn october "
"287","Neutral",0," rn wings subsid ta list time october "
"288","Neutral",0," rn check counter closed announced october "
"289","Neutral",0," rn special october "
"290","Neutral",0," rn customer service october "
"291","Neutral",0," rn blacklist october "
"292","Neutral",0," rn theft october "
"293","Neutral",0," rn buck october "
"294","Neutral",0," rn low cost fare october "
"295","Neutral",0," rn suprisingly ontime october "
"296","Neutral",0," rn pay october "
"297","Neutral",0," price ticket oke coffee tea board time expect travel "
"298","Neutral",0," rn flew wings september "
"299","Neutral",0," rn cheap good plane september "
"300","Neutral",0," rn cheap good september "
"301","Neutral",0," rn budget airlines september "
"302","Neutral",0," rn september "
"303","Neutral",0," rn kamol praparujivong september "
"304","Neutral",0," rn time september "
"305","Neutral",0," rn cheap time solid budget september "
"306","Neutral",0," reading bad reviews complaints time fact departed earlier seats comfortable pleasant "
"307","Neutral",0," staff service professional nationality guest board impression service "
"308","Neutral",0," rn short trip september "
"309","Neutral",0," flew jakarta denpasar booked based price traveloka check quick kg free extra kg rp cheap boarded flew time arrived time bags quick board services facilities instant noodles sold snacks flew "
"310","Neutral",0," rn didn august "
"311","Neutral",0," expecting usual budget carrier surprised touches offers light snacks kgcheck baggage smal differentiators make flying left time cabin interior "
"312","Neutral",0," budget compare budget southeast region airasia nokair malindo ll put bottom ranks budget traveller dont care time care money suits "
"313","Neutral",0," rn airlines domestic indonesian route august "
"314","Neutral",0," rn average budget airlines august "
"315","Neutral",0," rn budget august "
"316","Neutral",0," rn late august "
"317","Neutral",0," rn budget august "
"318","Neutral",0," rn interested phone august "
"319","Neutral",0," waiting bags friend realised left phone plane customer service area told happened yhey left destination checked seat pocket wasn police officer involved "
"320","Neutral",0," online booking excellentonline check goodflight timecomfort hour long finethe process worked dream nervous connecting internal flights worried european carriers efficient "
"321","Neutral",0," rn thai august "
"322","Neutral",0," rn taxi short trips august "
"323","Neutral",0," flying pekanbaru palembang proved experience nice thing jambi change seats destination palembang entire dry water cup coffee coming palembang bumpy high turbulence due cross winds "
"324","Neutral",0," rn definite frills august "
"325","Neutral",0," domestic transfer thailand phuket bangkok mins cheapest option airlines half price airlines offered delays landed time wifi "
"326","Neutral",0," rn late august "
"327","Neutral",0," famous delayed inconvenient sound flying reason flights schedule choose "
"328","Neutral",0," travel jakarta penang direct airasia daily transit sin jetstar tiger kul airasia malaysia airlines time decided medan kno specifically batik jakarta medan medan penang cost idr mil nett pax cheaper "
"329","Neutral",0," pilot jumpseat home thailand month noticed operates continual annoyances aggravations discount carrier asia happily surprised fly boeing airbuses rare asia pilot "
"330","Neutral",0," rn money august "
"331","Neutral",0," rn worst worth money august "
"332","Neutral",0," rn domestic august "
"333","Neutral",0," rn absolutely frills august "
"334","Neutral",0," journey splitted flights excess baggage charged flights asked seat emergency exit luck read lot bad made good experiences "
"335","Neutral",0," flew wings part part party surfers travelled bali sumbawa besar lombok tuesday made return trip friday summary experience fly wings destination surfer cost "
"336","Neutral",0," booked pm surabaya lombok supposedly delayed minutes eventually boarded plane pm board crew compulsory safety thing captain explained indonesian barely understandable english estimated arrival time things started "
"337","Neutral",0," rn airways armadas july "
"338","Neutral",0," armadas makes feel compertable flying inflight megazine don good choices inflight meal missed menu list flights "
"339","Neutral",0," rn ordinary airlines july "
"340","Neutral",0," rn takes cake july "
"341","Neutral",0," rn connecting flights july "
"342","Neutral",0," delayed won cover extra expenses rebooking final destination regardsmichael denmark "
"343","Neutral",0," rn budget july "
